climb_uuid,name,angle,layout_id,n_holds,holds,difficulty_average,quality_average,ascensionist_count,is_nomatch
a50f42803f1b44679f0f0a4b66815b99,Up & Down,30,1,17,"[(1084, 48, 8, 14), (1161, 32, 48, 14), (1163, 48, 48, 13), (1212, 32, 72, 13), (1221, 104, 72, 12), (1247, 40, 88, 13), (1276, 136, 96, 13), (1279, 24, 104, 13), (1306, 104, 112, 13), (1350, 48, 136, 13), (1351, 56, 136, 13), (1353, 72, 136, 13), (1462, 20, 4, 15), (1480, 108, 28, 15), (1491, 132, 36, 15), (1518, 140, 60, 15), (1531, 60, 76, 15)]",18.8333,2.66667,6,0
b6a2caed2b6942d58e2dd64079ac2dd2,ice paper 3,40,1,11,"[(1107, 8, 24, 12), (1176, 16, 56, 12), (1210, 16, 72, 13), (1230, 40, 80, 13), (1248, 48, 88, 13), (1283, 56, 104, 13), (1315, 40, 120, 13), (1383, 40, 152, 14), (1461, 28, 4, 15), (1464, 4, 4, 15), (1510, 12, 60, 15)]",21.2,2.6,5,1
BE62CB27197743D4A42AF0D922BEFC99,No.27⚡️Beast of the Board⚡️,45,1,11,"[(1155, 120, 40, 12), (1156, 128, 40, 12), (1202, 88, 64, 13), (1208, 136, 64, 15), (1253, 88, 88, 13), (1288, 96, 104, 13), (1322, 96, 120, 13), (1351, 56, 136, 13), (1352, 64, 136, 13), (1382, 32, 152, 14), (1451, 108, 4, 15)]",22.6,2.8,5,1
c65e2f4523e64e0e91898abca221d747,Charlie's project,40,1,14,"[(1181, 56, 56, 12), (1185, 88, 56, 12), (1216, 64, 72, 13), (1230, 40, 80, 13), (1267, 64, 96, 13), (1290, 112, 104, 13), (1302, 72, 112, 13), (1357, 104, 136, 13), (1391, 104, 152, 14), (1452, 100, 4, 15), (1459, 44, 4, 15), (1470, 84, 20, 15), (1485, 36, 36, 15), (1534, 108, 76, 15)]",19.0,3.0,5,0
29849A64265C43F0B0F5024A767866D6,Morty S-223,45,1,15,"[(1129, 48, 32, 12), (1149, 72, 40, 12), (1152, 96, 40, 15), (1190, 128, 56, 15), (1200, 72, 64, 13), (1234, 72, 80, 13), (1237, 96, 80, 13), (1257, 120, 88, 13), (1308, 120, 112, 13), (1341, 112, 128, 13), (1353, 72, 136, 13), (1356, 96, 136, 13), (1387, 72, 152, 14), (1457, 60, 4, 15), (1559, 68, 100, 15)]",16.6,2.2,5,0
6bba57071bc74ce6944c3ff532fd0264,judge not sim,40,1,6,"[(1256, 112, 88, 12), (1270, 88, 96, 12), (1353, 72, 136, 14), (1497, 92, 44, 15), (1506, 84, 52, 15), (1509, 132, 52, 15)]",21.4,2.8,5,0
C0D2649B23C645EC8D68279AC0BFE049,Tati's Dinner,30,1,15,"[(1113, 56, 24, 15), (1142, 16, 40, 12), (1162, 40, 48, 12), (1212, 32, 72, 13), (1249, 56, 88, 13), (1287, 88, 104, 13), (1299, 48, 112, 13), (1320, 80, 120, 13), (1341, 112, 128, 13), (1393, 120, 152, 14), (1458, 52, 4, 15), (1461, 28, 4, 15), (1505, 68, 52, 15), (1515, 92, 60, 15), (1542, 84, 84, 15)]",18.6,3.0,5,0
C660089B613E40DBA0C840F496C76310,kilterbattle.pt 018 - 6c+,35,1,12,"[(1155, 120, 40, 12), (1224, 128, 72, 13), (1292, 128, 104, 13), (1343, 128, 128, 14), (1374, 104, 144, 13), (1390, 96, 152, 14), (1448, 132, 4, 15), (1473, 132, 20, 15), (1482, 140, 28, 15), (1499, 124, 44, 15), (1500, 140, 44, 15), (1561, 100, 100, 15)]",20.9412,2.82353,17,0
0B54CD04313E4C048947B6A82F50CF85,glistening fever,40,1,13,"[(1083, 56, 8, 15), (1127, 32, 32, 15), (1148, 64, 40, 12), (1181, 56, 56, 15), (1216, 64, 72, 12), (1220, 96, 72, 13), (1229, 32, 80, 15), (1286, 80, 104, 13), (1297, 32, 112, 13), (1301, 64, 112, 13), (1313, 24, 120, 13), (1328, 8, 128, 13), (1379, 8, 152, 14)]",20.0,2.66667,6,1
0e4089a030084a1f855dc2c2b8916563,beta one cross,40,1,11,"[(1096, 56, 16, 12), (1149, 72, 40, 12), (1204, 104, 64, 15), (1231, 48, 80, 13), (1269, 80, 96, 13), (1288, 96, 104, 13), (1306, 104, 112, 13), (1337, 80, 128, 13), (1390, 96, 152, 14), (1455, 76, 4, 15), (1506, 84, 52, 15)]",18.6,3.0,5,0
14ebfb489c4b4d99b72ab87e2262c68a,"Bump it, press it, love it",45,1,15,"[(1137, 112, 32, 12), (1140, 136, 32, 15), (1151, 88, 40, 12), (1231, 48, 80, 13), (1237, 96, 80, 13), (1261, 16, 96, 13), (1265, 48, 96, 13), (1348, 32, 136, 13), (1379, 8, 152, 14), (1451, 108, 4, 15), (1477, 60, 28, 15), (1503, 36, 52, 15), (1519, 4, 68, 15), (1525, 100, 68, 13), (1558, 52, 100, 15)]",23.0,3.0,5,1
1B1FB56538674F50AB7E3A471EC9786D,hug the climb,40,1,14,"[(1084, 48, 8, 15), (1088, 16, 8, 15), (1097, 64, 16, 15), (1152, 96, 40, 15), (1176, 16, 56, 12), (1180, 48, 56, 13), (1196, 40, 64, 12), (1216, 64, 72, 13), (1242, 136, 80, 15), (1254, 96, 88, 13), (1287, 88, 104, 13), (1324, 112, 120, 13), (1336, 72, 128, 13), (1387, 72, 152, 14)]",25.0,2.4,5,1
1CAB2EB8B9074030995DC2E2EFF3B04F,off the rails,45,1,12,"[(1087, 24, 8, 13), (1143, 24, 40, 12), (1194, 24, 64, 12), (1234, 72, 80, 13), (1235, 80, 80, 13), (1238, 104, 80, 13), (1265, 48, 96, 13), (1307, 112, 112, 13), (1354, 80, 136, 13), (1371, 80, 144, 13), (1385, 56, 152, 14), (1499, 124, 44, 15)]",24.3333,2.33333,6,0
404b884cec2947b89d9e667accd685ff,Finsh No_01,55,1,10,"[(1115, 72, 24, 12), (1129, 48, 32, 12), (1217, 72, 72, 13), (1234, 72, 80, 13), (1303, 80, 112, 13), (1320, 80, 120, 13), (1390, 96, 152, 14), (1457, 60, 4, 15), (1488, 84, 36, 15), (1504, 52, 52, 15)]",26.0,2.4,5,1
44C2B31C127B403E8E6ED7831142FAAB,unfed story,50,1,9,"[(1149, 72, 40, 12), (1169, 96, 48, 15), (1214, 48, 72, 13), (1286, 80, 104, 13), (1351, 56, 136, 13), (1388, 80, 152, 14), (1455, 76, 4, 15), (1504, 52, 52, 15), (1567, 60, 108, 13)]",26.0,2.83333,6,0
5A5193CDE77B4061BE609F8F23493CF6,The Administration,40,1,14,"[(1149, 72, 40, 12), (1200, 72, 64, 13), (1237, 96, 80, 13), (1270, 88, 96, 13), (1306, 104, 112, 13), (1341, 112, 128, 15), (1354, 80, 136, 13), (1355, 88, 136, 13), (1385, 56, 152, 14), (1454, 84, 4, 15), (1457, 60, 4, 15), (1487, 68, 36, 15), (1507, 100, 52, 15), (1516, 108, 60, 15)]",16.6,2.6,5,0
5CCAF6A3047041F79E4BC283F77BC74C,so many grips to grab,55,1,14,"[(1187, 104, 56, 12), (1188, 112, 56, 12), (1229, 32, 80, 13), (1248, 48, 88, 13), (1271, 96, 96, 13), (1280, 32, 104, 13), (1351, 56, 136, 13), (1387, 72, 152, 14), (1499, 124, 44, 15), (1503, 36, 52, 15), (1521, 36, 68, 15), (1528, 12, 76, 15), (1549, 60, 92, 13), (1550, 76, 92, 13)]",27.0,3.0,5,0
AEC4515DA2F945E4B10D1A9294442A4B,sps01,55,1,15,"[(1092, 24, 16, 15), (1128, 40, 32, 12), (1131, 64, 32, 15), (1161, 32, 48, 15), (1196, 40, 64, 13), (1197, 48, 64, 13), (1200, 72, 64, 15), (1212, 32, 72, 15), (1229, 32, 80, 13), (1235, 80, 80, 15), (1267, 64, 96, 13), (1297, 32, 112, 13), (1332, 40, 128, 13), (1335, 64, 128, 13), (1384, 48, 152, 14)]",18.8,2.2,5,0
E7077FDFF2CD456A9D5DBDC5AFB92F78,Tom im Swinger Club,45,1,13,"[(1081, 72, 8, 15), (1117, 88, 24, 15), (1133, 80, 32, 12), (1146, 48, 40, 12), (1182, 64, 56, 13), (1214, 48, 72, 13), (1235, 80, 80, 13), (1269, 80, 96, 13), (1308, 120, 112, 13), (1374, 104, 144, 13), (1392, 112, 152, 14), (1455, 76, 4, 15), (1527, 132, 68, 15)]",21.4,3.0,5,0
023683613205493CB32BA90EC18CF911,silly lily,45,1,11,"[(1181, 56, 56, 12), (1185, 88, 56, 12), (1190, 128, 56, 15), (1235, 80, 80, 13), (1238, 104, 80, 13), (1286, 80, 104, 13), (1323, 104, 120, 13), (1340, 104, 128, 13), (1394, 128, 152, 14), (1452, 100, 4, 15), (1489, 100, 36, 15)]",20.6,2.8,5,0
048D678A19C749778B91D5727EC3DF31,mic drop,40,1,13,"[(1128, 40, 32, 12), (1195, 32, 64, 13), (1234, 72, 80, 13), (1283, 56, 104, 13), (1304, 88, 112, 13), (1334, 56, 128, 13), (1383, 40, 152, 14), (1461, 28, 4, 15), (1474, 12, 28, 15), (1503, 36, 52, 15), (1534, 108, 76, 15), (1547, 28, 92, 15), (1556, 20, 100, 15)]",22.0,3.0,5,1
0725521cc9614ad38a03f475a0665e94,cuddle,50,1,12,"[(1084, 48, 8, 15), (1086, 32, 8, 15), (1162, 40, 48, 12), (1230, 40, 80, 13), (1232, 56, 80, 13), (1282, 48, 104, 13), (1318, 64, 120, 13), (1350, 48, 136, 13), (1389, 88, 152, 14), (1495, 60, 44, 15), (1541, 68, 84, 15), (1588, 108, 124, 15)]",23.4,3.0,5,0
0a2415cb573e4ccbb8c6fb5bc3aae9cc,lil hippy,15,1,11,"[(1118, 96, 24, 15), (1148, 64, 40, 15), (1172, 120, 48, 12), (1233, 64, 80, 13), (1283, 56, 104, 13), (1383, 40, 152, 14), (1448, 132, 4, 15), (1534, 108, 76, 13), (1543, 100, 84, 13), (1557, 36, 100, 13), (1583, 28, 124, 13)]",22.6667,2.33333,6,0
0a73ce0f15d04857a8b4ee7c822025bb,Weiß/Braun_KBG23Q_07muc,45,1,12,"[(1127, 32, 32, 12), (1147, 56, 40, 12), (1180, 48, 56, 13), (1205, 112, 64, 15), (1214, 48, 72, 15), (1242, 136, 80, 15), (1253, 88, 88, 13), (1271, 96, 96, 13), (1306, 104, 112, 13), (1375, 112, 144, 14), (1459, 44, 4, 15), (1462, 20, 4, 15)]",22.4545,2.36364,11,0
2AE57380251A4FE49B69F8BC6382C16A,Weiß/Braun_KBG23Q_24düs,45,1,12,"[(1181, 56, 56, 15), (1218, 80, 72, 13), (1219, 88, 72, 13), (1223, 120, 72, 12), (1266, 56, 96, 13), (1338, 88, 128, 13), (1383, 40, 152, 14), (1385, 56, 152, 13), (1473, 132, 20, 15), (1482, 140, 28, 15), (1490, 116, 36, 12), (1583, 28, 124, 14)]",22.2727,2.27273,11,0
2DBF305934FF4EA1800BB13CE3774860,Weiß/Braun_KBGQ23_19rec,45,1,14,"[(1096, 56, 16, 15), (1203, 96, 64, 12), (1208, 136, 64, 15), (1220, 96, 72, 15), (1235, 80, 80, 13), (1239, 112, 80, 13), (1274, 120, 96, 13), (1320, 80, 120, 13), (1326, 128, 120, 13), (1389, 88, 152, 14), (1454, 84, 4, 15), (1488, 84, 36, 15), (1506, 84, 52, 15), (1513, 60, 60, 12)]",21.75,2.33333,12,0
3f0da751b2314f3a9d0f46a6f05c3aff,Weiß/Braun_KBG23Q_11dui,45,1,11,"[(1210, 16, 72, 12), (1234, 72, 80, 13), (1236, 88, 80, 13), (1243, 8, 88, 12), (1265, 48, 96, 13), (1305, 96, 112, 13), (1344, 136, 128, 13), (1395, 136, 152, 14), (1483, 4, 36, 15), (1506, 84, 52, 15), (1561, 100, 100, 15)]",23.0,2.66667,6,0
539b518a70864efe91b5557efb74a40c,thats a five,40,1,9,"[(1186, 96, 56, 15), (1213, 40, 72, 12), (1216, 64, 72, 12), (1283, 56, 104, 13), (1287, 88, 104, 13), (1338, 88, 128, 13), (1390, 96, 152, 14), (1476, 44, 28, 15), (1544, 116, 84, 15)]",20.8,3.0,5,1
53B9DB86F23847409FBEEB80DA477E37,Weiß/Braun_KBG23Q_30nul,45,1,9,"[(1140, 136, 32, 15), (1189, 120, 56, 12), (1237, 96, 80, 12), (1305, 96, 112, 13), (1321, 88, 120, 13), (1335, 64, 128, 13), (1367, 48, 144, 13), (1379, 8, 152, 14), (1557, 36, 100, 15)]",22.7,2.1,10,1
59269B69B6314ADFBED8EF13F9FA7805,blau/rot_KBG23Q_22düs,20,1,15,"[(1086, 32, 8, 15), (1090, 8, 16, 15), (1127, 32, 32, 15), (1159, 16, 48, 12), (1175, 8, 56, 12), (1197, 48, 64, 13), (1231, 48, 80, 13), (1236, 88, 80, 13), (1269, 80, 96, 13), (1306, 104, 112, 13), (1356, 96, 136, 13), (1387, 72, 152, 14), (1388, 80, 152, 14), (1457, 60, 4, 15), (1525, 100, 68, 15)]",16.3333,2.33333,6,0
6877f0e285914535bb557e2990dba9ef,Unleash your world,30,1,29,"[(1120, 112, 24, 13), (1130, 56, 32, 13), (1144, 32, 40, 12), (1146, 48, 40, 12), (1150, 80, 40, 13), (1170, 104, 48, 13), (1239, 112, 80, 13), (1268, 72, 96, 13), (1315, 40, 120, 13), (1367, 48, 144, 13), (1370, 72, 144, 14), (1450, 116, 4, 15), (1451, 108, 4, 15), (1452, 100, 4, 15), (1453, 92, 4, 15), (1454, 84, 4, 15), (1455, 76, 4, 15), (1456, 68, 4, 15), (1457, 60, 4, 15), (1458, 52, 4, 15), (1459, 44, 4, 15), (1460, 36, 4, 15), (1461, 28, 4, 15), (1506, 84, 52, 15), (1522, 52, 68, 15), (1547, 28, 92, 15), (1558, 52, 100, 15), (1559, 68, 100, 15), (1580, 116, 116, 15)]",18.8,3.0,5,0
6E0EC506429143619BAD15121E1DD1E7,Spiders have legs,20,1,17,"[(1084, 48, 8, 15), (1087, 24, 8, 15), (1089, 8, 8, 15), (1096, 56, 16, 15), (1117, 88, 24, 15), (1157, 136, 40, 15), (1177, 24, 56, 13), (1192, 8, 64, 12), (1206, 120, 64, 15), (1208, 136, 64, 14), (1212, 32, 72, 12), (1215, 56, 72, 13), (1221, 104, 72, 13), (1224, 128, 72, 14), (1231, 48, 80, 13), (1236, 88, 80, 13), (1257, 120, 88, 13)]",15.8,2.6,5,0
7be624e0cd3d4fd59ca007145981578e,Lou boulder,50,1,9,"[(1170, 104, 48, 12), (1187, 104, 56, 12), (1221, 104, 72, 13), (1289, 104, 104, 13), (1340, 104, 128, 13), (1391, 104, 152, 14), (1454, 84, 4, 15), (1533, 92, 76, 15), (1550, 76, 92, 15)]",18.8,2.4,5,0
7db67b65d060495bae02372585df245f,Weiß/Braun_KBG23Q_08muc,45,1,15,"[(1127, 32, 32, 12), (1165, 64, 48, 12), (1233, 64, 80, 13), (1235, 80, 80, 13), (1271, 96, 96, 13), (1291, 120, 104, 13), (1339, 96, 128, 13), (1371, 80, 144, 13), (1384, 48, 152, 14), (1455, 76, 4, 15), (1460, 36, 4, 15), (1508, 116, 52, 15), (1517, 124, 60, 15), (1527, 132, 68, 15), (1566, 44, 108, 15)]",22.4167,2.66667,12,0
A904C8C53CC346C0959014A69584114D,Glory Lives Forever,45,1,11,"[(1165, 64, 48, 12), (1182, 64, 56, 12), (1184, 80, 56, 13), (1220, 96, 72, 13), (1286, 80, 104, 13), (1304, 88, 112, 13), (1372, 88, 144, 13), (1392, 112, 152, 14), (1480, 108, 28, 15), (1487, 68, 36, 15), (1544, 116, 84, 15)]",22.0,3.0,6,1
b1d4f9dc260e4f15bbcacb6d24b17e59,play-doh junior,50,1,7,"[(1163, 48, 48, 15), (1217, 72, 72, 12), (1284, 64, 104, 12), (1353, 72, 136, 13), (1364, 24, 144, 14), (1380, 16, 152, 14), (1570, 108, 108, 15)]",23.0,3.0,6,0
bcc5b8a4faec4189a5a1df7d6545bd08,Weiß/Braun_KBG23Q_12dui,45,1,20,"[(1076, 112, 8, 15), (1077, 104, 8, 15), (1078, 96, 8, 15), (1079, 88, 8, 15), (1080, 80, 8, 15), (1081, 72, 8, 15), (1137, 112, 32, 15), (1187, 104, 56, 12), (1271, 96, 96, 13), (1283, 56, 104, 13), (1334, 56, 128, 13), (1389, 88, 152, 14), (1450, 116, 4, 15), (1451, 108, 4, 15), (1452, 100, 4, 15), (1453, 92, 4, 15), (1454, 84, 4, 15), (1455, 76, 4, 15), (1521, 36, 68, 15), (1523, 68, 68, 12)]",23.875,2.625,8,0
C5A6CBA743574BDA9990CB3C9E46F183,Mili,40,1,29,"[(1121, 120, 24, 12), (1122, 128, 24, 12), (1146, 48, 40, 15), (1187, 104, 56, 13), (1190, 128, 56, 13), (1204, 104, 64, 13), (1234, 72, 80, 13), (1235, 80, 80, 13), (1247, 40, 88, 13), (1281, 40, 104, 13), (1331, 32, 128, 13), (1351, 56, 136, 13), (1368, 56, 144, 13), (1389, 88, 152, 14), (1447, 140, 4, 15), (1449, 124, 4, 15), (1471, 100, 20, 15), (1473, 132, 20, 15), (1488, 84, 36, 15), (1490, 116, 36, 15), (1506, 84, 52, 15), (1511, 28, 60, 15), (1513, 60, 60, 15), (1528, 12, 76, 15), (1540, 52, 84, 15), (1556, 20, 100, 15), (1560, 84, 100, 15), (1568, 76, 108, 15), (1579, 100, 116, 15)]",20.6,3.0,5,0
cc89f147ab8c475bbc1d973792f5cc03,Weiß/Braun_KBG23Q_09muc,45,1,19,"[(1088, 16, 8, 15), (1143, 24, 40, 12), (1154, 112, 40, 15), (1157, 136, 40, 15), (1168, 88, 48, 15), (1186, 96, 56, 13), (1189, 120, 56, 13), (1201, 80, 64, 13), (1210, 16, 72, 15), (1230, 40, 80, 13), (1254, 96, 88, 13), (1258, 128, 88, 13), (1284, 64, 104, 13), (1341, 112, 128, 13), (1391, 104, 152, 14), (1464, 4, 4, 15), (1501, 4, 52, 12), (1502, 20, 52, 15), (1541, 68, 84, 13)]",24.8,2.4,5,0
E9BEA4D5A55744BABCD901329D6CB46E,Red Set V10 - Proving Grounds,45,1,16,"[(1110, 32, 24, 12), (1113, 56, 24, 12), (1154, 112, 40, 15), (1163, 48, 48, 13), (1181, 56, 56, 13), (1203, 96, 64, 13), (1214, 48, 72, 15), (1237, 96, 80, 13), (1246, 32, 88, 15), (1286, 80, 104, 15), (1302, 72, 112, 13), (1352, 64, 136, 13), (1388, 80, 152, 14), (1455, 76, 4, 15), (1541, 68, 84, 15), (1542, 84, 84, 15)]",21.0,2.0,6,0
EA018C60F3C140959F2F3FE6070CF93E,Weiß/Braun_KBG23Q_23düs,45,1,12,"[(1089, 8, 8, 12), (1143, 24, 40, 12), (1177, 24, 56, 13), (1199, 64, 64, 13), (1216, 64, 72, 13), (1268, 72, 96, 13), (1322, 96, 120, 13), (1387, 72, 152, 14), (1459, 44, 4, 15), (1464, 4, 4, 15), (1479, 92, 28, 15), (1496, 76, 44, 15)]",22.3571,2.78571,14,0
F24CABC1F1D14B73B4C00BAE2597EC34,jobless and alone,45,1,9,"[(1091, 16, 16, 15), (1126, 24, 32, 12), (1143, 24, 40, 12), (1213, 40, 72, 13), (1267, 64, 96, 13), (1301, 64, 112, 13), (1355, 88, 136, 13), (1390, 96, 152, 14), (1506, 84, 52, 15)]",21.4,2.6,5,0
FF36ABE7E8FB43038CAC5DD64389281A,to the right (tall),45,1,8,"[(1087, 24, 8, 15), (1130, 56, 32, 15), (1193, 16, 64, 12), (1200, 72, 64, 15), (1214, 48, 72, 12), (1247, 40, 88, 13), (1302, 72, 112, 13), (1387, 72, 152, 14)]",18.4,2.4,5,0
017d14a61a3246768f8a2570b74a9557,Mood Masters,40,1,20,"[(1074, 128, 8, 15), (1140, 136, 32, 15), (1155, 120, 40, 12), (1215, 56, 72, 13), (1225, 136, 72, 12), (1249, 56, 88, 13), (1252, 80, 88, 13), (1253, 88, 88, 13), (1255, 104, 88, 13), (1280, 32, 104, 13), (1347, 24, 136, 13), (1383, 40, 152, 14), (1385, 56, 152, 14), (1478, 76, 28, 15), (1480, 108, 28, 15), (1487, 68, 36, 15), (1496, 76, 44, 15), (1503, 36, 52, 15), (1555, 4, 100, 15), (1558, 52, 100, 15)]",20.2,2.8,5,0
01CA4E15E76245339BB658937397FE77,Light a Match,40,1,15,"[(1084, 48, 8, 15), (1149, 72, 40, 12), (1179, 40, 56, 13), (1263, 32, 96, 13), (1283, 56, 104, 13), (1334, 56, 128, 13), (1352, 64, 136, 13), (1389, 88, 152, 14), (1456, 68, 4, 15), (1459, 44, 4, 15), (1477, 60, 28, 15), (1503, 36, 52, 15), (1505, 68, 52, 15), (1562, 116, 100, 15), (1566, 44, 108, 15)]",23.0,3.0,5,0
059a2a64da7244d98713b6d65e645ca0,Ruudje Debuutje,40,1,16,"[(1114, 64, 24, 12), (1188, 112, 56, 15), (1198, 56, 64, 13), (1210, 16, 72, 15), (1236, 88, 80, 13), (1286, 80, 104, 13), (1288, 96, 104, 13), (1319, 72, 120, 13), (1331, 32, 128, 13), (1380, 16, 152, 14), (1383, 40, 152, 14), (1452, 100, 4, 15), (1453, 92, 4, 15), (1460, 36, 4, 15), (1461, 28, 4, 15), (1538, 20, 84, 15)]",19.8333,2.5,6,0
09d2677302fc48549ff70b72ea119e5f,Next to toilet,40,1,11,"[(1106, 136, 16, 15), (1172, 120, 48, 12), (1194, 24, 64, 15), (1237, 96, 80, 13), (1264, 40, 96, 13), (1278, 16, 104, 13), (1287, 88, 104, 13), (1316, 48, 120, 13), (1382, 32, 152, 14), (1447, 140, 4, 15), (1450, 116, 4, 15)]",24.2,3.0,5,1
0AEA85AD60FF420CB670F0D441E9362B,BlocSpot 3,40,1,18,"[(1143, 24, 40, 12), (1158, 8, 48, 12), (1212, 32, 72, 13), (1231, 48, 80, 13), (1248, 48, 88, 13), (1268, 72, 96, 13), (1320, 80, 120, 13), (1339, 96, 128, 13), (1388, 80, 152, 14), (1460, 36, 4, 15), (1464, 4, 4, 15), (1468, 52, 20, 15), (1487, 68, 36, 15), (1493, 28, 44, 15), (1506, 84, 52, 15), (1513, 60, 60, 15), (1532, 76, 76, 15), (1559, 68, 100, 15)]",19.2,2.8,5,0
135f4ff103e742c1a8d1d58a883b2158,Sharma kick,40,1,14,"[(1143, 24, 40, 12), (1145, 40, 40, 15), (1192, 8, 64, 12), (1263, 32, 96, 13), (1264, 40, 96, 13), (1318, 64, 120, 13), (1385, 56, 152, 14), (1464, 4, 4, 15), (1503, 36, 52, 15), (1504, 52, 52, 15), (1511, 28, 60, 15), (1513, 60, 60, 15), (1520, 20, 68, 13), (1547, 28, 92, 13)]",23.2,2.8,5,1
14ca881799e04f71b3b464c844972ca4,distributeur de gourmandises,45,1,10,"[(1084, 48, 8, 15), (1126, 24, 32, 12), (1182, 64, 56, 12), (1230, 40, 80, 13), (1284, 64, 104, 13), (1301, 64, 112, 13), (1339, 96, 128, 13), (1372, 88, 144, 13), (1393, 120, 152, 14), (1541, 68, 84, 15)]",24.0,3.0,5,1
